project_name,k,P,R,F1,match,pred,gt,tasks,prompt_tokens,completion_tokens,total_tokens
mrjob,10,0.02582496413199426,0.07627118644067797,0.03858520900321544,18,697,236,105,25640,3600,29240
mrjob,15,0.023746701846965697,0.07627118644067797,0.03621730382293763,18,758,236,105,25640,3600,29240
mrjob,20,0.02284263959390863,0.07627118644067797,0.03515625,18,788,236,105,25640,3600,29240
boto,10,0.049107142857142856,0.14248704663212436,0.07304116865869854,55,1120,386,121,29106,3632,32738
boto,15,0.036399735274652546,0.14248704663212436,0.057986294148655776,55,1511,386,121,29106,3632,32738
boto,20,0.030623608017817373,0.14248704663212436,0.05041246562786435,55,1796,386,121,29106,3632,32738
alembic,10,0.049132947976878616,0.06692913385826772,0.05666666666666667,17,346,254,51,13072,1522,14594
alembic,15,0.04009433962264151,0.06692913385826772,0.050147492625368724,17,424,254,51,13072,1522,14594
alembic,20,0.03406813627254509,0.06692913385826772,0.045152722443559105,17,499,254,51,13072,1522,14594
diffprivlib,10,0.08530805687203792,0.1565217391304348,0.11042944785276074,18,211,115,30,10470,813,11283
diffprivlib,15,0.0703125,0.1565217391304348,0.09703504043126684,18,256,115,30,10470,813,11283
diffprivlib,20,0.0694980694980695,0.1565217391304348,0.09625668449197862,18,259,115,30,10470,813,11283
mingus,10,0.01818181818181818,0.051094890510948905,0.026819923371647507,7,385,137,52,11613,1353,12966
mingus,15,0.015283842794759825,0.051094890510948905,0.023529411764705882,7,458,137,52,11613,1353,12966
mingus,20,0.013435700575815739,0.051094890510948905,0.021276595744680847,7,521,137,52,11613,1353,12966
ALL,10,0.04084696968805063,0.1003213914373601,0.057066706974787294,115,2759,1128,359,89901,10920,100821
ALL,15,0.03299921395054759,0.1003213914373601,0.04877788646794517,115,3407,1128,359,89901,10920,100821
ALL,20,0.029596120312815073,0.1003213914373601,0.04481389122305255,115,3863,1128,359,89901,10920,100821
